공지분류,등록 번호,기본 제목,공지 제목,부서,등록일,조회수,링크,본문 내용,이미지 링크,이미지 텍스트,마감일자,모집 현황,일반공지_학사/수업,일반공지_진로/취업,일반공지_장학금/지원금,일반공지_대외활동/서포터즈,일반공지_공모전/경진대회,일반공지_교내행사/이벤트,일반공지_비교과/교육,일반공지_군 관련,일반공지_창업 관련,일반공지_행정,일반공지_기타,장학공지_국가근로장학금,장학공지_교내장학금,장학공지_교외장학금,장학공지_국가장학금,장학공지_학자금대출,장학공지_멘토링/청소년교육지원,장학공지_특별지원/목회자/북한이탈/보훈,장학공지_글로벌/해외연수/파란사다리,장학공지_취업연계/창업/고졸후학습자/희망사다리,장학공지_행정/안내/기타,장학공지_기타
일반공지,공지,예비군연대+2025년도 대학 직장(학생) 예비군 소집훈련 안내문+2025-04-25,2025년도 대학 직장(학생) 예비군 소집훈련 안내문,예비군연대,2025-04-25,0,https://www.jj.ac.kr/jj/community/notice01.do?mode=view&articleNo=479550&article.offset=0&articleLimit=100,2025년도 대학 직장(학생)예비군 소집훈련 안내문 입니다.2025년도 1학기에 본교 학생예비군으로 편성이되어 있는 학생예비군을 대상으로 예비군 소집훈련 실시하오니 개인별 훈련유형을꼭! 확인하여 훈련유형에 맞는 예비군 소집훈련에 성실히 참석하여 주시기 바랍니다.자세한 내용은 붙임 문서를 참조하시기 바랍니다.,,,-,정보 없음,0.115606936,0,0,0,0,0,3.156069364,3.156069364,0,0,0,0,0,0,0,0,0,0,0,0,0,0
일반공지,공지,창업지원단+<청춘살롱> '전주 청년이 진로를 찾고 길을 묻는 시간' 참가학생 모집+2025-06-04,<청춘살롱> '전주 청년이 진로를 찾고 길을 묻는 시간' 참가학생 모집,창업지원단,2025-06-04,0,https://www.jj.ac.kr/jj/community/notice01.do?mode=view&articleNo=481242&article.offset=0&articleLimit=500,"전주의 청년들이 진로를 찾고, 삶을 묻고, 길을 함께 그려가는 시간 ✨'청춘살롱'에서 여러분의 청춘을 나누고, 영감을 받아보세요.대학생 여러분들의 많은 관심과 참여 바랍니다.○ 행사 개요- 행사명: 청춘살롱 '전주 청년이 진로를 찾고 길을 묻는 시간'- 일시: 2025년 6월 18일(수) 오전 11:30~13:00- 장소: 전주대학교 하림미션홀- 대상: 진로에 고민이 있거나, 취·창업 관련 청년 관계자의 경험·노하우가 필요한대학생○ 프로그램 구성-오프닝공연 & 인사말씀: 전주시 우범기 시장님-라운드토크: “내가 꿈꾸는 나의 직업, 전주에서의 삶”-브런치살롱: 자유 네트워킹 & 브런치 타임-시상식: 우수 질문 채택자 시상(우수 질문자 및 참가자 중 추첨하여 소정의 상품 제공 예정)-오찬(브런치) 제공○ 참가신청 방법아래 QR코드를 스캔하여 신청서를 작성해주세요.(※ 선착순 마감될 수 있습니다)○  문의처-전주시청 일자리정책과: 063-281-2555-전주대학교 창업지원단: 063-220-2846재학생 여러분들의 많은 관심과 참여 바랍니다.감사합니다.","https://www.jj.ac.kr/_attach/jj/editor-image/2025/06/WhZaqOQHvMytTtrQCBGpraDSke.png, https://jjstartup.jj.ac.kr/_upload_image/2025-06/jcnnfxehdhof.jpg"," 전주 청년이 진로름 갖고 길을 문는 시간 2025/6/18 수요일 1130 행사내용 오프낭공연 (인사말씀) 전주시 우범기 시장님 (라운드토크) 내가 꿈꾸는 나의 직업, 전주에서의 삶 (브런치살콩) 자유 네트위컵&브런*타임 (시상식) 우수 질문 채택자 시상 주   최 J squores 전주대학교 창업지원단 참가신청 참가신청 QR코드 @ 문 의 전주시청 일자리정책과 063-287-2555 전주대학교 창업지원단 063-220-2846 청춘 식로 ",2025-06-18,모집중,0,1.293048327,0,0.154349442,0,0.425873606,0.037174721,0,0.234349442,0,0,0,0,0,0,0,0,0,0,0,0,0
일반공지,공지,진로개발센터+2025학년도 진로 취업 프로그램 인식 및 수요조사(~25. 6. 18.)+2025-06-04,2025학년도 진로 취업 프로그램 인식 및 수요조사(~25. 6. 18.),진로개발센터,2025-06-04,0,https://www.jj.ac.kr/jj/community/notice01.do?mode=view&articleNo=481226&article.offset=0&articleLimit=500,안녕하세요.우리 대학 학생들의 진로 ·취업에 대한 여러분의 인식과 요구사항을 알아보기 위해 설문조사를 실시하고자 합니다.여러분의 소중한 의견은 우리 대학의 진로 및 취업 프로그램 개선에 반영하여 보다 나은 교육환경 조성에 힘쓰고자 합니다.많은 참여 부탁드립니다.1.  조사대상: 1~4학년 재학생2. 조사기간: 2025. 6. 2.(월)~6. 18.(수)3. 참여방법: QR 코드 스캔 후 설문조사 참여(온라인 설문조사)4. 참여혜택-음료 키프티콘(선착순 150명)-대학일자리플러스센터 경품 추첨 응모권 획득* 6. 25. 3시 인스타 라방에 참석한 경우에 한하여 경품 지급5. 문의사항: 진로개발센터 (2084),https://www.jj.ac.kr/_attach/jj/editor-image/2025/06/YvJdeHvJaprkJDInJfelLYHRQi.jpg,"2025학년도 온라인 설문 이번트 대학일자리+센터가 손다! 손다] 손다y 학생맛출형 진로취업 프로그램 수요조사 설문기간 2025. 6. 2 (월)~6. 18.(수) 참여대상 전주대학교 1 ~4학년 재학생 참 여방 법 QR코드 스랜 후 설문조사 참여 (선작순 150명 음료 기프티롬 발송) 문의 진로개발센터(063-220-2084) 경품 추점 2025 6 Z5 (수)오후 3 인스타그램(@jjuniv_JOB) 라이브 방송 라이브 방송에 접속하고 있는 추점자에 한해 경품이 지급되니다: Sat Oct 28 1 'U 개5 IDJ: 풀리오 마사지기 걸력시 핏3 (2명) (3명) 아이패드 A16 (1명) *이 외에도 올리브영 기프트 카드 3만원권(4명), 치권 교환권((명), 대일풀 곳즈 등 준비되어 있습니다:",2025-06-18,모집중,0.058139535,2.08871273,0,0,0,0.101265823,0.881197695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
장학공지,공지,교외장학금+2025-2학기 국가근로장학금 1차 신청 안내(5. 23. 9시~6. 23. 18시)+2025-05-21,2025-2학기 국가근로장학금 1차 신청 안내(5. 23. 9시~6. 23. 18시),교외장학금,2025-05-21,0,https://www.jj.ac.kr/jj/community/notice03.do?mode=view&articleNo=480596&article.offset=0&articleLimit=100,"<2025학년도2학기 국가근로장학금1차 신청 안내>2025학년도2학기 국가근로장학금(1차) 학생 신청 기간 및 신청 방법을 안내해 드립니다.ㅇ 국가근로장학금이란?: 지정된 근로지(교내 부서 또는 교외 근로지)에서 근로하고 그에 따른 장학금을 월별 수혜ㅇ 근로 기간: 학기중 국가근로로, 2025년9월 개강~2026년2월 방학 종료 시까지(변동 가능)ㅇ 신청 가능 대상(1~4를 모두 충족해야 함)1. 2025-2학기가 정규학기8학기 이하(단, 건축학과는10학기 이하)* 2026. 2. 졸업자는 졸업식 전날까지 근무2. 재학생(휴학, 자퇴, 제적, 졸업자 제외)3. 직전 학기(2025-1학기) 백분위 성적이70점 이상4. 2025-2학기 학자금지원구간이9분위 이하※ 2025-2학기 편입생은1차 신청을 받지 않습니다(학기중 근로 불가). 2차 신청 기간(2025년8월 중순~9월 초 예정)에 신청하시면 추후 동계방학집중근로에 지원하실 수 있습니다.※ 다른 근로장학사업 간의(보람근로, 대학생 청소년교육지원사업 등) 중복 참여는 불가합니다.※*조기 취업자, 산업체 위탁생,대학원생,시간제 등록생,평생교육시설 등록생은 국가근로 참여가 불가합니다.*조기취업자: 재직증명서 및4대보험 가입내역이 확인되는 경우(단, 일용직/아르바이트/체험형인턴은 조기취업자에 해당되지 않음)ㅇ 신청 기간: 2025. 5. 23. 9시~ 2025. 6. 23. 18시※주말 및 공휴일 포함 신청기간 내 24시간 신청 가능(단, 신청 마감일 제외)★ 이번 1차 신청 후, 추후 희망근로지도 신청해야 지원이 최종적으로 완료됨- 희망근로지 신청 기간(예정): 8. 15.(금)~8. 19.(화) 자정까지ㅇ 신청 방법: 한국장학재단 홈페이지 또는 모바일 앱 이용(첨부파일 참고)※ 선발 요건인 소득분위 산정에 시간이 오래 걸리기 때문에, 가급적 신청을 빨리해 주시기 바랍니다.ㅇ선발 방법(변동 가능): 희망근로지까지 신청한 학생 대상으로 심사하며, 환산점수(학자금지원구간 환산 점수50% + 직전학기 성적 환산 점수50%) 고득점 자 순으로 선발ㅇ2025학년도 동계방학 집중근로(2026.1.~2026.2. 기간 동안교외 공공기관에서 집중적으로 근로)에 참여하고자 하는 경우에도, 이번1차 또는2차 신청 기간에 국가근로장학금을 신청해야 함- 동계방학 집중근로도 추후 희망근로지를 신청해야 지원이 최종 완료됨- 동계방학 집중근로 희망근로지 신청기간: 2025년10월~11월 중 예정※상기 운영 일정 등은 재단, 대학 학사일정 등에 따라 변경될 수 있음[문의] 모바일 앱및 홈페이지 시스템 관련 문의: 한국장학재단 콜센터1599-2290 / 학생지원실063-220-2162, 2172",,,2025-06-23,모집중,0,0,0,0,0,0,0,0,0,0,0,1.599809886,0.076045627,0.015209125,0.913973384,0.076045627,0.106463878,0.045627376,0.197718631,0.060836502,0.837927757,0
장학공지,공지,"국가장학금+2025-2학기 국가장학금 신청기간(1차, 5/23~6/23) 안내+2025-05-20","2025-2학기 국가장학금 신청기간(1차, 5/23~6/23) 안내",국가장학금,2025-05-20,0,https://www.jj.ac.kr/jj/community/notice03.do?mode=view&articleNo=480520&article.offset=0&articleLimit=100,"2025-2학기 국가장학금 1차 신청 기간을 안내하오니,모든 학생들은 신청 바랍니다.▶ 신청 기간: 5. 23.(금) 9시 ~ 6. 23.(월) 18시",https://www.jj.ac.kr/_attach/jj/editor-image/2025/05/YjwEIfsmPfIKUGSFNVERQNEwKC.jpg,"푸름등대 한국장학재단 교육부 신청대상 신청기간 재학생, 신입생고3, 재수생 등 입학예정자) 편입생 국가장학금 신청 재입학생 복학생 등 모든 대학생 '25. 5, 23 (금) 9시 - 6. 23 (월) 18시 X 재학생은 1차 신청이 원칙이다, 재학 중 2회에 한해 2차 신청으로 수혜 가능 X 마감 이후 국가장학금 신청 불가하므로 반드시 기간 내 신청 신청방법 서류제출 및가구원 동의기간 전자서명수단 한 가지 준비 '25.5. 23 (금) 9시 - 6, 30 (월) 18시 공동인증서 0 금중인증서 간편인증 서류 제출 대상자는 온라인으로 서류 제출 필수! 신청 2~3일 후 누리집 및 모바일 업에서 제출 필요 서류 확인 한국장학재단 누리집 및 모바일 업에서 신청 X 반드시 학생 본인이 직접 신청 누리집 모바일업 신청문의 WWWkasaf gukr 한국장학재단 상담센터 국가장학금 신청문의 Android IOS 1599-2000 햇봇상담 표 지료 물기장얘 신청하세외 2학기[차신청기간 'Y년도 b23tulia 593t3im PI드",2025-06-23,모집중,0,0,0,0,0,0,0,0,0,0,0,0.389140271,0.943319838,0,3.415932365,0.981781377,0,0.866396761,0.9048583,0,1.101690879,0
장학공지,공지,국가장학금+25-2학기 주거안정장학금 신청 일정 안내: 5/23(금)~6/23(월)+2025-05-19,25-2학기 주거안정장학금 신청 일정 안내: 5/23(금)~6/23(월),국가장학금,2025-05-19,0,https://www.jj.ac.kr/jj/community/notice03.do?mode=view&articleNo=480458&article.offset=0&articleLimit=100,"가. 부모 모두의 주민등록상 주소지가 원거리(전주시, 익산시, 김제시를 제외한 지역)에 해당하는 재학생나. 성적 및 이수학점 기준을 충족하는 재학생- 신/편입생 및 재입학생: 성적 및 이수학점 기준 없음- 재학생: 직전학기 12학점 이수 및 70점(100점 만점) 이상다. 사업 당해연도 1월 1일 기준 만 39세 이하로 미혼인 재학생라. 당해학기 기초생활수급자 또는 차상위 계층으로 확인된 재학생마. 부모의 주민등록정보 확인을 위한 가구원 동의를 완료한 재학생5. 지급 주기구분2025-2학기동계 계절학기해당 월9월분10월분11월분12월분1~2월지급 월10월11월12월1월3월",https://www.jj.ac.kr/_attach/jj/editor-image/2025/05/acoPkaontliBtkpmyoQzmhwOns.png,"{국장퍼지단 교육부 {주 적 ) 두{안정장임몸 신청하세요 주거안정장화금이란? 원거리 대사어 다니는 기초' 차상위학생에계 [주거관럽 비용] 최대 20만원 지원히는 장화금 리De5년 2학기 [차 신청기간 BGGSCE@sGSCEI8물 서류제3 및 가구멍 동의기간 지원금액 및 지급밥식 23 (금) 9시 6. 30 (원) 18시1 '4기 급 뵈다 고만터 반도 내 후거관민 비닐 자신 또기 UA:소단신 사뉘 *나; 기 J-반 주거긴자 장나금 지극 ?머 거도 요비 지극 5 너너앙 화용기 자국산 신미습 기변 지}   싸다 발 { 신청대심 재3생 기초자사퀴 워색  '썰러리 진의자 주거 관련 사용 가능 비용 다 미 ? 이미 미라다 0 05  0 수퍼하다스 다며벼 듯 대박스고지 기구 부모나벼 수소지기 리뜨 팀터권계 입l럽우 Oas사I컬터: 수도스 / 부년 8반년 / 대구팩 "" @구소 신청방법 아NT디: 기드바터 7침/7 5느내지 한국하보재단 누라집 및 모바라경없시 신념 무구나    둘새보새 남_이 '리 ? : E리zl 모미움 신청문의 I5g9-2000 #3다 VWkusaf _gokr",2025-06-23,모집중,0,0,0,0,0,0,0,0,0,0,0,0.036630037,0.196716863,0,1.063412649,0.269976937,0.160086827,0.036630037,0.10989011,0.036630037,1.076979329,0
장학공지,공지,교내장학금+2025-1학기 장학사정관제장학금 신청안내(~6. 13.)+2025-05-12,2025-1학기 장학사정관제장학금 신청안내(~6. 13.),교내장학금,2025-05-12,0,https://www.jj.ac.kr/jj/community/notice03.do?mode=view&articleNo=480107&article.offset=0&articleLimit=100,"1. 신청 대상장학사정관제장학금은 아래 유형 중 하나에 해당하는 본교 재학생에게 지급됩니다.[유형1] 지속적 가계곤란-지속적으로 경제적으로 어려운 가정(소득구간 0~3분위)임에도 불구하고, 국가장학금 탈락 등으로 등록금 조달이 어려운 학생-소득구간 산정 오류 또는 서류상 누락 등의 사유로 국가장학금 수혜를 받지 못한 학생 등[유형2] 긴급 가계곤란최근에 갑작스러운 경제적 위기를 겪은 가정의 학생으로 다음과 같은 사유에 해당하는 경우(예: 부모의 사망, 실직, 파산, 부도, 장기투병 등) 해당 사유로 학비 조달이 어려운  학생공통 신청 요건- 직전학기 12학점 이상 이수, 평균평점 2.0 이상인 자(※ 신입생·편입생은 첫 학기  성적 요건 제외)- 정규학기 재학생2. 신청 제외 대상미등록자, 자퇴자, 제적자정규학기 초과자 (※ 8학기 초과자 / 건축학과는 10학기 초과자)성적 기준 미달자 (※ 단, 신입생·편입생·복학생은 제외)3. 신청 및 지급 안내장학금액: 100만원(수업료 범위 내 지급)※ 타 장학금과 수업료 범위 내 중복 수혜 가능※ 교내·외 장학금 수혜 현황 및 경제상황 등을 고려하여 심사신청기간: 2025. 5. 12.(월) ~ 6. 13.(금)※ 장학사정관제장학금은 매 학기별 신청 필수신청방법재학생 포털(inSTAR) 로그인 → [장학/등록] → [장학금 신청] → [장학사정관제장학금 신청]※ 포털 내 장학금 신청 매뉴얼(붙임문서) 참조제출서류(포털에 파일 업로드)가. 개인정보 수집·이용 동의서 1부나. 가계곤란을 입증할 수 있는 증빙자료 (소득 관련 서류, 건강보험납입확인서, 기초수급자 증명서, 실직·파산·진단서 등)※ 붙임문서 참조지급방법:신청학생 개인 통장으로 지급(학자금 대출 수혜자는 대출 우선 상환 처리)4. 유의사항 및 문의장학금 접수는 「장학금지급에 관한 세칙」 제4조 제1항에 따라기간 내 신청만 가능하며,접수 마감 후에는 추가 신청이 불가하오니 반드시 기한 내 신청 바랍니다.제출 서류는 요청 시 원본 제출을 요구할 수 있으며, 허위기재·미제출 시 지급이 보류되거나 취소될 수 있습니다.문의:학생지원실 교내장학 담당 ☎ 063-220-2167 (E-mail:breeze@jj.ac.kr)",,,2025-06-13,모집중,0,0,0,0,0,0,0,0,0,0,0,0.129032258,1.167155425,0.01843318,0.258064516,0.239631336,0.165898618,0.055299539,0.036866359,0,1.259321324,0
장학공지,공지,"교외장학금+★ 국가근로, 대학생 청소년교육지원사업 휴보강기간 근무 관련 안내(일시적인 휴강 근무 불가)+2025-06-04","★ 국가근로, 대학생 청소년교육지원사업 휴보강기간 근무 관련 안내(일시적인 휴강 근무 불가)",교외장학금,2025-06-04,0,https://www.jj.ac.kr/jj/community/notice03.do?mode=view&articleNo=481246&article.offset=0&articleLimit=500,"★ 국가근로, 대학생 청소년교육지원사업 휴보강기간 근무 관련 안내(일시적인 휴강 근무 불가)안녕하세요 학생지원실 국가근로, 대청교 담당자입니다.6. 9.(월)~6. 13.(금), 6. 21.(토)은휴보강기간이지만정규학기에 포함됩니다.정규학기에 포함된 주차이기 때문에,정규학기 학업시간표의 적용을 받습니다.★따라서1. 휴강의 경우: 다음주에 수업을 안하는 요일 또는 과목(휴강하는 과목)이 있더라도, 그 시간에 근로하실 수 없습니다. 정규학기 학업시간표상 수업시간이기 때문입니다.2. 보강의 경우: 보강을 다른 요일 시간표로 하더라도, 근로 가능 여부는 해당 요일의 원래 학업시간표 기준으로 판단해야 합니다. 예를들어, 6. 11.(수)에는 5.5.(월) 어린이날 휴업일을 보강하느라 월요일 시간표로 수업이 있습니다. 하지만 근로 가능여부는 ‘수요일’ 학업시간표를 기준으로 판단해야 합니다. 즉, 6. 11.(수) 보강일에 수업이 없는 시간이 생기더라도, 원래 그 시간이 학업시간표상 수요일 수업시간이었다면 근로 불가합니다.<확인 문제>1) '휴강의 경우' 문제:  6. 13.(금)요일에는 금요일 시간표로 보강이 있다. 그런데, 교수님께서 금요일 '기독교윤리와적성'은 보강을 하지 않겠다고 하신다. 6. 13.(금)에 아무 수업도 없게 되었다. 이 경우, 다음 학생은 6. 13.(금)요일 10:00~12:00에 근로를 할 수 있을까?정답: 할 수 없다.  금요일 정규시간표상 10:30~12:00는 수업시간이기 때문이다.2) '보강의 경우' 문제:  6. 11.(수)요일에는 월요일 시간표로 보강이 있다. 다음 학생의 경우, 6. 11.(수)요일에 16시~17시 사이에 근로를 할 수 있을까?정답: 할 수 없다. 월요일 시간표로 보강하더라도, 원래 해당 요일인 수요일정규 시간표상  16시~18시에 진로설계세미나 수업이 있으므로 근로 불가하다.※ 참고","https://www.jj.ac.kr/_attach/jj/editor-image/2025/06/jbIzKknfOeSaUocMBcWbdhEOGl.png, https://www.jj.ac.kr/_attach/jj/editor-image/2025/06/NJehkMCINHFsRuTbhciaNNWlqT.png, https://www.jj.ac.kr/_attach/jj/editor-image/2025/06/bfkzHTbisNjZbMtmCDOJNrxTfN.png", {Uy 5UT) 5UE4 5UI 2025학년도 1학기 휴업일 및 대체보강일 (추가) 순 대체 보강일 휴업일 휴업일   구분 비 고 6. 9.(월) 3. 3.(월) 심일설  대체   휴일 { 6. 10 (화) 5. 6 (화) 어린이날   대체   휴일 대체보강 6. 11.(수) 5. 5.(월) 부치념   오신날 주간 3. 12.(목) 6 (금) 현충일 5 6. 13.(금) 5. 2.(금) 개고기념일   휴일 6. 21 (도) 6. 3 (화) 대통평_신거일 초가 대체보강일은 정상 수업일로 출걸에 포함되니다. 2025-1학기 종강일: 6. 21 (토),-,정보 없음,0,0,0,0,0,0,0,0,0,0,0,0,0.021598272,0,0.107991361,0,0.598521349,0,0.620119621,0.598521349,0.749709254,0
일반공지,7555,대학일자리플러스센터+[공지] 2025학년도 2년 내 졸업생 및 졸업 예정자 대상 수요조사(~25. 6. 20.)+2025-06-10,[공지] 2025학년도 2년 내 졸업생 및 졸업 예정자 대상 수요조사(~25. 6. 20.),대학일자리플러스센터,2025-06-10,94,https://www.jj.ac.kr/jj/community/notice01.do?mode=view&articleNo=481498&article.offset=0&articleLimit=500,안녕하세요.졸업생 특화 프로그램의 일환으로 졸업생 여러분의 인식과 요구 사항을 알아보기 위해 설문조사를 실시하고자 합니다.여러분의 소중한 의견은 졸업생 특화 프로그램 기획 및 운영에 반영하여 더욱 알찬 프로그램을 준비에 반영될 예정입니다.많은 참여 부탁드립니다.1.  조사대상: 2년 내 졸업생(23. 2.~25. 2. 졸업) / 졸업예정자(25. 8.)2. 조사기간: 2025. 6. 2.(월)~6. 20.(금)3. 참여방법: QR 코드 스캔 후 설문조사 참여(온라인 설문조사)4. 참여혜택-대학일자리플러스센터 경품 추첨 응모권 획득* 6. 25. 3시 인스타 라방에 참석한 경우에 한하여 경품 지급5. 문의사항: 대학일자리플러스센터(063-220-4656),https://www.jj.ac.kr/_attach/jj/editor-image/2025/06/UBRHNNuLeLJFLodZNZTaWiVUuw.jpg,"2025학년도 온라인 설문 이번트 대학일자리+센터가 손다 손다) 손다템 졸업생 대상 진로취업 프로그램 수요조사 설문기간 25.6. 2 (월)~6. 20.(금) 참여대상 2년내 졸업생(23.2.~25.2 ) 및 졸업예정자(25. 8 ) 참 여방 법 QR코드 스랜 후 설문조사 참여 문의 대학일자리+센터(063-220-4656) 경품 추점 2025 6 Z5 (수)오후 3 인스타그램(@jjuniv_JOB) 라이브 방송 라이브 방송에 접속하고 있는 추점자에 한해 경품이 지급되니다: Sat Oct 28 1 'U 개5 IDJ: 풀리오 마사지기 걸력시 핏3 (2명) (3명) 아이패드 A16 (1명) *이 외에도 올리브영 기프트 카드 3만원권(4명), 치권 교환권((명), 대일풀 곳즈 등 준비되어 있습니다:",2025-06-20,모집중,2.526411812,0.522338665,0,0,0,0.102040816,0.21318257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
일반공지,7554,창업창직센터+[창업동아리] 2025 RISE 창업동아리 모집 공고+2025-06-09,[창업동아리] 2025 RISE 창업동아리 모집 공고,창업창직센터,2025-06-09,136,https://www.jj.ac.kr/jj/community/notice01.do?mode=view&articleNo=481453&article.offset=0&articleLimit=500,"대학지원체계(RISE) 사업의 일환으로 지역 내 특화산업 및 문화 특성을 소재로 한 창업아이디어 개발에 도전하고 청년 창업 촉진과 대학 내 청년 창업 문화를 확산을 위한 2025 RISE 창업동아리를 모집하고자 하오니 재학생 여러분들의 많은 관심과 참여 바랍니다.2025. 6. 9.RISE 창업창직센터장○ 사 업 명: 2025 RISE 창업동아리 지원 사업○ 지원기간: 2025. 6.~ 2025. 12.(7개월)○  지원대상: 3인 이상~5인 이하로 이루어진재학생*또는 연합팀○ 지원내용가. 프로토타입(시제품) 제작을 위한 외부 용역비 지원(팀별 최대 2,000,000원 / 심사 결과에 따라 차등 지원 및 중간평가 후 추가 지원)나.중간평가 후 심화형 선정 시 추가 예산 배정○ 운영일정모집 일정▶발표 평가▶오리엔테이션▶활동 기간▶결과 발표회2025. 6. 9.(월)~ 6. 23.(월)2025. 6. 24.(화)2025. 7. 中2025. 7.~ 12.2025. 1. 中온라인 접수활동 계획서 발표사업비 사용 안내,일정 조정 논의중간 점검(9월)우수 동아리선정*사업의 원활한 추진을 위하여 상기 일정은 변경될 수 있음.○신청접수: 2025. 6. 9.(월)~6. 23.(월) 17:00○ 접수방법: 신청서 및 기타 서류는 모두 이메일 접수만 가능-신청서 양식: 전주대학교 홈페이지 첨부파일 다운로드- 제출이메일 주소:70599_@jj.ac.kr○ 제출서류-[붙임]창업동아리 지원 사업 신청서 1부.-[붙임] 창업동아리 활동계획서 1부.Tel. 063-220-2986 / 카카오톡 오픈프로필. 전주대학교 창업창직센터학생 여러분들의 많은 관심과 참여 바랍니다.감사합니다.",https://jjstartup.jj.ac.kr/_upload_image/2025-06/cddeiakqifgb.jpg,"2025 welcowe! RISE 창업동아리 9o 지원 사업 사업개요 사 업 명: 2025 RISE 창업동아리 지원사업 사업기간: 2025. 6.~2025. 12.(7개월) 지원대상: 3인 이상~5인 이하로 이루어진 재학생 또는 연합팀 지원내용 프로토타입(시제품) 제작올 위한 외부 용역비 지원 (팀별 최대 200만원 심사 결과에 따라 차등 지원 및 중간평가 후 추가지원 가능) 중간 평가 후 심화형 선정 시 추가 예산 배정 05 운영일정 6월 23일(월) 6월 24일(화) 7월 중 7월~12월 1월 중 온라인 접수 발표 평가 오리엔테이선 활동기간 결과발표회 공고및접수 사업공고: 2025. 사업공고: 2025. 6. 9 (월)~6. 23 (월) 전주대학교 흉떼이지(http:llwwwjj.ac kr) 신청접수: 2025. 6. 9 (월]~6. 23 (월) 17.00 접수방법: 신청서 및 기타 서류는 모두 이페일 접수만 가능 이메일 주소: 70599_@ijackr 제출서류 창업동아리 지원 사업 신청서 1부 [붙임7] 창업동아리 지원 사업 신청서 7부; 유의사항 선정후지출 증방 서류등물제출시비용 지원(사후 지급) 증방 서류: 창업 교육 이수증 등 참가자 역량 및 창업 활동 실적 수상 실적, 지식재산권 보유 실적 등 선정된 창업동아리 대표자는 기한 내 결과보고서름 반드시 제출하여야 함 당소 지원 예산보다 초과 지출된 사업비는 창업동아리가 자체 부담함. 문의 사항: RISE 사업단 창업창직센터 김정임 (Tel 063-220-2986 / 카카오록 오른프로필. 전주대학교 창업창직센터) 전주대학교",2025-01-02,마감,0.025510204,0,0,0.123659633,0.024213075,0.075233483,2.374870287,0,2.473019716,0,0,0,0,0,0,0,0,0,0,0,0,0
